,id_user,user_name,created_at,followers,following,text,text_stemmed,text_lemmatized
394,1173310933936025601,Freelancer Dilip,2019-09-15 19:01:40,4,179,"['digital', 'marketer', 'web', 'traffic', 'business', 'promotion']","['digit', 'market', 'web', 'traffic', 'busi', 'promot']","['digital', 'marketer', 'web', 'traffic', 'business', 'promotion']"
397,1173310928554811393,Utter Butternuts,2019-09-15 19:01:39,82,464,"['man', 'time', 'hero', 'many', 'villain', 'majestic', 'player', 'highest', 'flickering', 'candle', 'darkness', 'represents', 'bigotry', 'sport', 'society', 'minds', 'gutter', 'wish', 'well', 'fight', 'new', 'battle', 'respect']","['man', 'time', 'hero', 'mani', 'villain', 'majest', 'player', 'highest', 'flicker', 'candl', 'dark', 'repres', 'bigotri', 'sport', 'societi', 'mind', 'gutter', 'wish', 'well', 'fight', 'new', 'battl', 'respect']","['man', 'time', 'hero', 'many', 'villain', 'majestic', 'player', 'highest', 'flickering', 'candle', 'darkness', 'represents', 'bigotry', 'sport', 'society', 'mind', 'gutter', 'wish', 'well', 'fight', 'new', 'battle', 'respect']"
399,1173310905398038528,Chris Malley,2019-09-15 19:01:33,112,789,['sport'],['sport'],['sport']
402,1173305480636067840,LivEchoLFC,2019-09-15 18:40:00,587515,551,"['often', 'team', 'builds', 'win', 'left', 'back']","['often', 'team', 'build', 'win', 'left', 'back']","['often', 'team', 'build', 'win', 'left', 'back']"
404,1173310878814547970,Paul Reynolds,2019-09-15 19:01:27,1008,363,"['interesting', 'view', 'top', 'sport', 'psychologist']","['interest', 'view', 'top', 'sport', 'psychologist']","['interesting', 'view', 'top', 'sport', 'psychologist']"
405,1173195170583592962,LivEchoLFC,2019-09-15 11:21:40,587515,551,"['harassed', 'flicked', 'passed', 'buzzed', 'kinds', 'fair', 'say', 'enjoyed', 'bit', 'yesterday']","['harass', 'flick', 'pass', 'buzz', 'kind', 'fair', 'say', 'enjoy', 'bit', 'yesterday']","['harassed', 'flicked', 'passed', 'buzzed', 'kind', 'fair', 'say', 'enjoyed', 'bit', 'yesterday']"
406,1173307224246165505,DeanJones_,2019-09-15 18:46:55,1899,549,"['claimed', 'early', 'season', 'bragging', 'rights', 'hard', 'fought', 'home', 'derby', 'success']","['claim', 'earli', 'season', 'brag', 'right', 'hard', 'fought', 'home', 'derbi', 'success']","['claimed', 'early', 'season', 'bragging', 'right', 'hard', 'fought', 'home', 'derby', 'success']"
407,1173309214988689409,MirrorFootball,2019-09-15 18:54:50,557778,912,"['slams', 'arsenal', 'performance', 'explains', 'fans', 'deeply', 'worried']","['slam', 'arsen', 'perform', 'explain', 'fan', 'deepli', 'worri']","['slam', 'arsenal', 'performance', 'explains', 'fan', 'deeply', 'worried']"
408,1173310696827826177,fhillbonedoc,2019-09-15 19:00:43,297,14,"['sit', 'ups', 'better', 'extremity', 'use', 'yes', 'keep', 'core', 'strong', 'matter', 'sport', 'play', 'decreased', 'core', 'muscle', 'endurance', 'among', 'risk', 'factors', 'lower', 'extremity', 'overuse', 'injuries']","['sit', 'up', 'better', 'extrem', 'use', 'ye', 'keep', 'core', 'strong', 'matter', 'sport', 'play', 'decreas', 'core', 'muscl', 'endur', 'among', 'risk', 'factor', 'lower', 'extrem', 'overus', 'injuri']","['sit', 'ups', 'better', 'extremity', 'use', 'yes', 'keep', 'core', 'strong', 'matter', 'sport', 'play', 'decreased', 'core', 'muscle', 'endurance', 'among', 'risk', 'factor', 'lower', 'extremity', 'overuse', 'injury']"
409,1173310861773103104,Eric,2019-09-15 19:01:23,515,422,"['finished', 'watching', 'football', 'us', 'college', 'game', 'great', 'look', 'greatest', 'sport']","['finish', 'watch', 'footbal', 'us', 'colleg', 'game', 'great', 'look', 'greatest', 'sport']","['finished', 'watching', 'football', 'u', 'college', 'game', 'great', 'look', 'greatest', 'sport']"
